family,lang,ftype,nwords,mtype,date,time_ran(s),tot_epoch,mepoch,nll,accuracy,distance
oto-manguean,czn,hall,10000,hall-mono-hmm,07/01/20,223.0,12.0,8.0,0.083,81.1688,0.4675
oto-manguean,czn,tst,305,mono-hmm,07/01/20,74.0,17.0,16.0,0.0748,75.3247,0.5779
oto-manguean,czn,dev,154,transformer,07/01/20,2236.0,6666.0,5054.0,0.7885,85.0649,0.3571
oto-manguean,czn,trn,1088,transformer,07/01/20,2236.0,6666.0,5054.0,0.7885,85.0649,0.3571
oto-manguean,czn,tst,305,transformer,07/01/20,2236.0,6666.0,5054.0,0.7885,85.0649,0.3571
oto-manguean,czn,dev,154,mono-hmm,07/01/20,74.0,17.0,16.0,0.0748,75.3247,0.5779
oto-manguean,czn,trn,1088,mono-hmm,07/01/20,74.0,17.0,16.0,0.0748,75.3247,0.5779
germanic,dan,tst,5101,mono-hmm,07/01/20,1306.0,17.0,9.0,0.0239,72.5882,0.4541
germanic,dan,dev,2550,mono-hmm,07/01/20,1306.0,17.0,9.0,0.0239,72.5882,0.4541
germanic,dan,tst,5101,transformer,07/01/20,13042.0,444.0,272.0,0.7598,74.902,0.2757
germanic,dan,dev,2550,transformer,07/01/20,13042.0,444.0,272.0,0.7598,74.902,0.2757
germanic,dan,trn,17852,transformer,07/01/20,13042.0,444.0,272.0,0.7598,74.902,0.2757
germanic,dan,hall,10000,hall-transformer,07/01/20,12153.0,285.0,200.0,0.7611,73.4118,0.2949
germanic,dan,hall,10000,hall-mono-hmm,07/01/20,2063.0,22.0,18.0,0.024,70.6275,0.5075
germanic,dan,trn,17852,mono-hmm,07/01/20,1306.0,17.0,9.0,0.0239,72.5882,0.4541
germanic,deu,hall,10000,hall-mono-hmm,07/04/20,10842.0,24.0,21.0,0.0024,98.3311,0.0753
germanic,deu,tst,28402,transformer,07/03/20,89683.0,80.0,79.0,0.768,97.5002,0.0301
germanic,deu,trn,99405,transformer,07/03/20,89683.0,80.0,79.0,0.768,97.5002,0.0301
germanic,deu,dev,14201,mono-hmm,07/03/20,11125.0,26.0,25.0,0.0023,98.5916,0.0617
germanic,deu,trn,99405,mono-hmm,07/03/20,11125.0,26.0,25.0,0.0023,98.5916,0.0617
germanic,deu,tst,28402,mono-hmm,07/03/20,11125.0,26.0,25.0,0.0023,98.5916,0.0617
germanic,deu,dev,14201,transformer,07/03/20,89683.0,80.0,79.0,0.768,97.5002,0.0301
germanic,deu,hall,10000,hall-transformer,07/04/20,81842.0,72.0,71.0,0.7678,96.8946,0.0384
germanic,eng,tst,23105,transformer,,,,,,,
germanic,eng,trn,80865,transformer,,,,,,,
germanic,eng,dev,11553,transformer,,,,,,,
niger-congo,swa,trn,3374,transformer,06/30/20,3493.0,2222.0,2222.0,0.6426,100.0,0.0
niger-congo,swa,dev,469,transformer,06/30/20,3493.0,2222.0,2222.0,0.6426,100.0,0.0
niger-congo,swa,tst,910,transformer,06/30/20,3493.0,2222.0,2222.0,0.6426,100.0,0.0
